X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
12.70835,47.075,2570298616,a307e4d7-1de2-4adc-95d5-a0a8d5f57236,NMR996800130043,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906","Parnassius sacerdos (Stichel, 1906)","Parnassius sacerdos Stichel, 1906",,AT,Gro??glockner,K?¤rnten,PRESENT,"1",3ead5cf3-2840-482e-bbd9-76380825be63,47.070000000000000,12.690000000000000,"1113",0.010000000000000,,,,,02.08.1971 00:00:00,"2","8","1971","0","1","0","0","0","1","1938331","1938331",PRESERVED_SPECIMEN,NMR,NMR Collection,NMR996800130043,,,,CC_BY_4_0,Natural History Museum Rotterdam,,,,13.01.2023 09:29:56,,,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89421",8942/1,"100",A,QU,12.708349999999999,47.075000000000003,"8942","89","42","1",./0.png
12.29168,47.025,2570246546,a307e4d7-1de2-4adc-95d5-a0a8d5f57236,NMR996800035731,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906","Parnassius sacerdos (Stichel, 1906)","Parnassius sacerdos Stichel, 1906",,AT,"Hinterbichl, Islitzeralm",Tirol,PRESENT,"1",3ead5cf3-2840-482e-bbd9-76380825be63,47.009999999999998,12.300000000000001,"1113",0.010000000000000,"1900",,,,14.07.1993 00:00:00,"14","7","1993","0","0","1","0","0","1","1938331","1938331",PRESERVED_SPECIMEN,NMR,NMR Collection,NMR996800035731,,,,CC_BY_4_0,Natural History Museum Rotterdam,,,,13.01.2023 09:29:54,,,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89394",8939/4,"100",AT,QU,12.291679999999999,47.024999999999999,"8939","89","39","4",./1.png
11.04168,46.875,2570246010,a307e4d7-1de2-4adc-95d5-a0a8d5f57236,NMR996800035733,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906","Parnassius sacerdos (Stichel, 1906)","Parnassius sacerdos Stichel, 1906",,AT,"?–tztaler Alpen, Solden-Meran, Gurgler Kamm",Tirol,PRESENT,"1",3ead5cf3-2840-482e-bbd9-76380825be63,46.869999999999997,11.029999999999999,"1113",0.010000000000000,"2190",,,,07.07.1993 00:00:00,"7","7","1993","0","0","1","0","0","1","1938331","1938331",PRESERVED_SPECIMEN,NMR,NMR Collection,NMR996800035733,,,,CC_BY_4_0,Natural History Museum Rotterdam,,,,13.01.2023 09:29:55,,,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91321",9132/1,"100",AT,QU,11.041679999999999,46.875000000000000,"9132","91","32","1",./1.png
11.62501,47.125,922719957,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,"Weitental, Kaserer Scharte und Frauenwand",,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.110439000000000,11.654780000000001,"250",,,,,,04.08.2012 00:00:00,"4","8","2012","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"1863449891",,,,CC_BY_4_0,,"-2057092445",,,11.01.2023 07:24:46,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88354",8835/4,"100",AT,QU,11.625010000000000,47.125000000000000,"8835","88","35","4",./2.png
11.70835,47.175,922651683,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,"Wandergebiet, Gr??blspitze bis Nasse Tuxalm",,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.164439999999999,11.710270000000000,"250",,,,,,27.07.2012 00:00:00,"27","7","2012","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-1348897462",,,,CC_BY_4_0,,"-2057092445",,,11.01.2023 07:26:48,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88361",8836/1,"100",AT,QU,11.708349999999999,47.174999999999997,"8836","88","36","1",./2.png
11.29168,47.375,922749285,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,11.07.2013 00:00:00,"11","7","2013","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-136181897",,,,CC_BY_4_0,,"-1207428491",,,11.01.2023 07:17:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
10.95834,46.875,3885910956,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos Stichel 1906,"Parnassius sacerdos Stichel, 1906",,AT,Vent,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.866664999999998,10.933332999999999,"500",,,,,,03.08.2013 00:00:00,"3","8","2013","0","0","0","1","0","1","1938331","1938331",OCCURRENCE,LI,ZOBODAT,"101806480",,Ortner Johann,,CC0_1_0,,Ortner Johann,,,13.01.2023 09:21:43,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91312",9131/2,"100",AT,QU,10.958340000000000,46.875000000000000,"9131","91","31","2",./2.png
11.04168,46.825,3885888776,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos Stichel 1906,"Parnassius sacerdos Stichel, 1906",,AT,Hohe Mut S Obergurgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.840000000000003,11.029999999999999,"500",,,,,,15.08.2013 00:00:00,"15","8","2013","0","0","0","1","0","1","1938331","1938331",OCCURRENCE,LI,ZOBODAT,"101806743",,Ortner Johann,,CC0_1_0,,Ortner Johann,,,13.01.2023 09:21:43,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91323",9132/3,"80",A,QU,11.041679999999999,46.825000000000003,"9132","91","32","3",./2.png
11.12501,47.125,1808017837,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,UTM25_32T_0650_5200,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.132342999999999,11.137562000000001,"25",,,,,,21.07.2013 00:00:00,"21","7","2013","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-294629775",,,,CC_BY_4_0,,"1704980861",,,11.01.2023 07:17:55,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88324",8832/4,"100",AT,QU,11.125010000000000,47.125000000000000,"8832","88","32","4",./2.png
11.29168,47.375,1045094441,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,06.08.2014 00:00:00,"6","8","2014","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"1146633177",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:04:58,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
12.45835,47.125,1045078762,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,GEO01: Gschl?¶??tal,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.118999000000002,12.496498000000001,"250",,,,,,26.07.2014 00:00:00,"26","7","2014","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-1974734246",,,,CC_BY_4_0,,"1597687675",,,11.01.2023 07:28:31,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88404",8840/4,"100",AT,QU,12.458349999999999,47.125000000000000,"8840","88","40","4",./2.png
12.29168,47.025,1038748945,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,GEO02: Umbaltal/Umbalf?¤lle,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.010283999999999,12.313356000000001,"250",,,,,,24.07.2014 00:00:00,"24","7","2014","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-186248520",,,,CC_BY_4_0,,"1597687675",,,11.01.2023 07:17:25,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89394",8939/4,"100",AT,QU,12.291679999999999,47.024999999999999,"8939","89","39","4",./2.png
11.04168,46.825,3885885107,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos Stichel 1906,"Parnassius sacerdos Stichel, 1906",,AT,Hohe Mut S Obergurgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.840000000000003,11.029999999999999,"500",,,,,,23.07.2015 00:00:00,"23","7","2015","0","0","0","1","0","1","1938331","1938331",OCCURRENCE,LI,ZOBODAT,"101809284",,Ortner Johann,,CC0_1_0,,Ortner Johann,,,13.01.2023 09:21:45,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91323",9132/3,"80",A,QU,11.041679999999999,46.825000000000003,"9132","91","32","3",./2.png
10.95834,46.875,3884585882,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos Stichel 1906,"Parnassius sacerdos Stichel, 1906",,AT,Vent,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.866664999999998,10.933332999999999,"500",,,,,,25.07.2015 00:00:00,"25","7","2015","0","0","0","1","0","1","1938331","1938331",OCCURRENCE,LI,ZOBODAT,"101809304",,Ortner Johann,,CC0_1_0,,Ortner Johann,,,13.01.2023 09:21:07,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91312",9131/2,"100",AT,QU,10.958340000000000,46.875000000000000,"9131","91","31","2",./2.png
12.45835,47.125,1808075744,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,UTM25_33T_0300_5200,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.114651000000002,12.420408000000000,"25",,,,,,04.08.2015 00:00:00,"4","8","2015","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"1921478425",,,,CC_BY_4_0,,"137447620",,,11.01.2023 07:24:19,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88404",8840/4,"100",AT,QU,12.458349999999999,47.125000000000000,"8840","88","40","4",./2.png
11.29168,47.375,1339392305,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,03.08.2015 00:00:00,"3","8","2015","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-850366050",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:03:31,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,1339320345,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,11.07.2016 00:00:00,"11","7","2016","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"219103984",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 06:55:50,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.70835,47.175,1668780947,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,"Wandergebiet, Gr??blspitze bis Nasse Tuxalm",,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.164439999999999,11.710270000000000,"250",,,,,,31.07.2017 00:00:00,"31","7","2017","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-2089845251",,,,CC_BY_4_0,,"-2057092445",,,11.01.2023 07:29:58,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88361",8836/1,"100",AT,QU,11.708349999999999,47.174999999999997,"8836","88","36","1",./2.png
11.79168,47.025,1668777320,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Ginzling-Zemmgrund,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.032082000000003,11.782064000000000,"250",,,,,,08.08.2017 00:00:00,"8","8","2017","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"459675329",,,,CC_BY_4_0,,"-2057092445",,,11.01.2023 06:57:08,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89364",8936/4,"100",AT,QU,11.791679999999999,47.024999999999999,"8936","89","36","4",./2.png
11.29168,47.375,1893230779,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,30.07.2018 00:00:00,"30","7","2018","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"570207743",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 06:57:52,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,1883838995,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,16.07.2018 00:00:00,"16","7","2018","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-1702582460",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:11:29,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,1883837186,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,02.07.2018 00:00:00,"2","7","2018","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-1280018820",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:30:01,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,2350512122,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,05.08.2019 00:00:00,"5","8","2019","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"-461068101",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:01:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,2283954569,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,01.07.2019 00:00:00,"1","7","2019","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"2012824990",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:26:12,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
11.29168,47.375,3389210247,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius sacerdos,,SPECIES,"Parnassius sacerdos Stichel, 1906",Parnassius sacerdos,"Parnassius sacerdos Stichel, 1906",,AT,Karwendelschlucht-Runde im Naturpark Karwendel,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.383704999999999,11.279612000000000,"250",,,,,,10.08.2020 00:00:00,"10","8","2020","0","0","0","1","0","1","1938331","1938331",HUMAN_OBSERVATION,naturgucker,naturgucker,"1123458954",,,,CC_BY_4_0,,"-899821603",,,11.01.2023 07:04:38,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86332",8633/2,"100",AT,QU,11.291679999999999,47.375000000000000,"8633","86","33","2",./2.png
