X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,BO_Name,verbatimSc,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
11.87501,47.175,3944655017,c1492854-5d15-40e9-9ee7-24a18ac05112,FD1558BC-1F1A-429B-92F7-FD6A835B6CD6,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",,AT,Ramsau im Zillertal,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,47.189999999999998,11.880000000000001,"25",,,,,,20.07.2022 00:00:00,"20","7","2022","0","0","0","1","0","1","5882965","5882965",OCCURRENCE,HNS,Biodiversit?¤tsdatenbank Salzburg,"2873804",,,,CC_BY_4_0,,ContactID: 2786,,,13.01.2023 11:51:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88371",8837/1,"100",AT,QU,11.875010000000000,47.174999999999997,"8837","88","37","1",./0.png
11.87501,47.175,3906969193,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/250439464,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,Austria - Ramsau im Zillertal,,PRESENT,"1",c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,47.194346000000003,11.879488000000000,"25",,,,,,20.07.2022 00:00:00,"20","7","2022","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,,Observations,OBS.250439464,,,,CC_BY_NC_4_0,Stichting Observation International,User 133520,,,11.01.2023 10:27:26,StillImage,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88371",8837/1,"100",AT,QU,11.875010000000000,47.174999999999997,"8837","88","37","1",./0.png
10.70834,47.125,3337915102,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/91504530,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,,Tirol,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.117424999999997,10.667948000000001,"153",,,,,,29.06.2016 08:50:00,"29","6","2016","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,iNaturalist,Observations,"91504530",,naturparkteam,17.08.2021 07:55:27,CC_BY_NC_4_0,naturparkteam,naturparkteam,,,23.01.2023 13:39:04,StillImage,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88303",8830/3,"100",AT,QU,10.708340000000000,47.125000000000000,"8830","88","30","3",./0.png
12.87501,46.825,3012077957,c1492854-5d15-40e9-9ee7-24a18ac05112,BBF1FD84-E013-492D-9E15-C850803CB6A9,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",,AT,Nikolsdorf,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,46.799999999999997,12.890000000000001,"350",,"650",,,,26.06.1987 00:00:00,"26","6","1987","0","0","1","0","0","1","5882965","5882965",OCCURRENCE,HNS,Biodiversit?¤tsdatenbank Salzburg,"96445",,,,CC_BY_4_0,,ContactID: 2959,,,13.01.2023 11:53:47,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91433",9143/3,"100",A,QU,12.875010000000000,46.825000000000003,"9143","91","43","3",./0.png
12.87501,46.825,3011060250,c1492854-5d15-40e9-9ee7-24a18ac05112,85D6AD7F-F354-4B63-9965-006E0F58BB45,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",,AT,Nikolsdorf,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,46.799999999999997,12.890000000000001,"350",,"650",,,,25.06.1987 00:00:00,"25","6","1987","0","0","1","0","0","1","5882965","5882965",OCCURRENCE,HNS,Biodiversit?¤tsdatenbank Salzburg,"96446",,,,CC_BY_4_0,,ContactID: 2902,,,13.01.2023 11:49:00,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91433",9143/3,"100",A,QU,12.875010000000000,46.825000000000003,"9143","91","43","3",./0.png
12.62501,47.525,2596099873,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31687771,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,,Tirol,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.505414999999999,12.604606000000000,"61",,,,,,23.08.2019 15:21:00,"23","8","2019","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,iNaturalist,Observations,"31687771",,Eugene Karolinskiy,13.09.2019 21:55:45,CC_BY_4_0,Michael Knapp,Michael Knapp,,,23.01.2023 13:25:45,StillImage,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84414",8441/4,"100",A,QU,12.625010000000000,47.524999999999999,"8441","84","41","4",./0.png
11.37501,47.275,2350319026,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/29370974,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,,Tirol,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.281618000000002,11.398527000000000,"66",,,,,,23.07.2019 09:51:58,"23","7","2019","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,iNaturalist,Observations,"29370974",,chrisbs,26.07.2019 20:41:37,CC_BY_NC_4_0,chrisbs,chrisbs,,,23.01.2023 13:25:47,StillImage,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.20835,47.575,2329881422,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,Kufstein: Theaterh??tte - Skipiste,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.589798000000002,12.190939999999999,"250",,,,,,01.07.2018 00:00:00,"1","7","2018","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,naturgucker,naturgucker,"944605102",,,,CC_BY_4_0,,"1983859033",,,11.01.2023 06:59:34,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84391",8439/1,"100",AT,QU,12.208349999999999,47.575000000000003,"8439","84","39","1",./0.png
11.95835,47.425,2329871164,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,"Kundlerklamm - M??hltal, Wildsch?¶nau",,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.440742000000000,11.995611000000000,"250",,,,,,08.08.2013 00:00:00,"8","8","2013","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,naturgucker,naturgucker,"-802362172",,,,CC_BY_4_0,,"116645738",,,11.01.2023 07:02:58,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85374",8537/4,"100",AT,QU,11.958349999999999,47.424999999999997,"8537","85","37","4",./0.png
12.20835,47.525,2329869686,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)",Satyrium w-album,,AT,Rechenau - Haberg - Eiberg,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,47.549767000000003,12.181005000000001,"250",,,,,,24.06.2017 00:00:00,"24","6","2017","0","0","0","1","0","1","5882965","5882965",HUMAN_OBSERVATION,naturgucker,naturgucker,"1968469363",,,,CC_BY_4_0,,"1983859033",,,11.01.2023 07:08:09,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84393",8439/3,"100",AT,QU,12.208349999999999,47.524999999999999,"8439","84","39","3",./0.png
10.87501,47.175,3885369154,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,?–tz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.890000000000001,"500",,,,,,01.07.1911 00:00:00,,"7","1911","1","0","0","0","0","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2855418",,,,CC0_1_0,,,,,13.01.2023 09:21:08,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
10.70834,47.225,3885365435,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Mils b. Imst,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.210000000000001,10.670000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2826562",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87303",8730/3,"100",AT,QU,10.708340000000000,47.225000000000001,"8730","87","30","3",./0.png
11.45835,47.275,3885334808,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Weiherburg (Innsbruck),,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.270000000000003,11.420000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2796016",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87342",8734/2,"100",AT,QU,11.458349999999999,47.274999999999999,"8734","87","34","2",./0.png
11.37501,47.275,3885239171,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,M??hlau b. Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.280000000000001,11.400000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2795471",,,,CC0_1_0,,,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.04168,47.525,3885225053,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Kirchbichl SW Kufstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.509999999999998,12.080000000000000,"500",,,,,,21.06.1932 00:00:00,"21","6","1932","1","0","0","0","0","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2864900",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84383",8438/3,"100",AT,QU,12.041679999999999,47.524999999999999,"8438","84","38","3",./0.png
10.87501,47.175,3885056912,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,?–tz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.890000000000001,"500",,,,,,01.07.1911 00:00:00,,"7","1911","1","0","0","0","0","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2855421",,,,CC0_1_0,,,,,13.01.2023 09:21:28,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
12.04168,47.475,3884912721,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2850821",,,,CC0_1_0,,Schuler N.,,,13.01.2023 09:21:09,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
11.45835,47.275,3882892444,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Amraser Au b.Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.259999999999998,11.440000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2797085",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87342",8734/2,"100",AT,QU,11.458349999999999,47.274999999999999,"8734","87","34","2",./0.png
11.70835,47.375,3882827786,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Tratzberg bei Stans,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.380000000000003,11.740000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2826948",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86361",8636/1,"100",AT,QU,11.708349999999999,47.375000000000000,"8636","86","36","1",./0.png
11.37501,47.275,3882667334,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.259999999999998,11.389722000000001,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2765878",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.04168,47.525,3882663185,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Kirchbichl SW Kufstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.509999999999998,12.080000000000000,"500",,,,,,04.05.1932 00:00:00,"4","5","1932","1","0","0","0","0","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2864898",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84383",8438/3,"100",AT,QU,12.041679999999999,47.524999999999999,"8438","84","38","3",./0.png
